country,iso3,year,indicator,value
"Egypt, Arab Rep.",EGY,2025,gdp_growth,4.39201068570188
"Egypt, Arab Rep.",EGY,2019,inflation,9.15279959324804
"Egypt, Arab Rep.",EGY,2020,inflation,5.04493288977539
"Egypt, Arab Rep.",EGY,2021,inflation,5.21404940513043
"Egypt, Arab Rep.",EGY,2022,inflation,13.8956609775178
"Egypt, Arab Rep.",EGY,2023,inflation,33.8847763115546
"Egypt, Arab Rep.",EGY,2024,inflation,28.2705899322083
"Egypt, Arab Rep.",EGY,2025,inflation,14.0735136645934
"Egypt, Arab Rep.",EGY,2019,reserves_months,5.83923947440236
"Egypt, Arab Rep.",EGY,2020,reserves_months,5.56473451430895
"Egypt, Arab Rep.",EGY,2021,reserves_months,4.38225643427728
"Egypt, Arab Rep.",EGY,2022,reserves_months,3.32738146369502
"Egypt, Arab Rep.",EGY,2023,reserves_months,3.87390992001782
"Egypt, Arab Rep.",EGY,2024,reserves_months,4.53950764706678
"Egypt, Arab Rep.",EGY,2025,reserves_months,4.35960492991794
Ghana,GHA,2019,current_account,-2.72699375813964
Ghana,GHA,2020,current_account,-3.04816313374944
Ghana,GHA,2021,current_account,-2.8205574143058
Ghana,GHA,2022,current_account,-2.33126484632356
Ghana,GHA,2023,current_account,-0.911884130701339
Ghana,GHA,2024,current_account,1.91923157284388
Ghana,GHA,2025,current_account,8.22096928515243
Ghana,GHA,2019,external_debt_gni,49.8694571261813
Ghana,GHA,2020,external_debt_gni,56.9614944269336
Ghana,GHA,2021,external_debt_gni,60.4375749224229
Ghana,GHA,2022,external_debt_gni,60.022746907535
Ghana,GHA,2023,external_debt_gni,55.2963757239878
Ghana,GHA,2024,external_debt_gni,46.9171668170777
Ghana,GHA,2019,gdp_growth,6.5077747939152
Ghana,GHA,2020,gdp_growth,0.513941670628171
Ghana,GHA,2021,gdp_growth,5.07646643533542
Ghana,GHA,2022,gdp_growth,3.80484978178042
Ghana,GHA,2023,gdp_growth,3.14009100080186
Ghana,GHA,2024,gdp_growth,5.84746854280382
Ghana,GHA,2025,gdp_growth,5.95441714756899
Ghana,GHA,2019,inflation,7.14364003330857
Ghana,GHA,2020,inflation,9.88728956269944
Ghana,GHA,2021,inflation,9.9710886750444
Ghana,GHA,2022,inflation,31.2558951049016
Ghana,GHA,2023,inflation,38.1069656296501
Ghana,GHA,2024,inflation,22.8483281157842
Ghana,GHA,2025,inflation,14.2046755548989
Ghana,GHA,2019,reserves_months,2.89562482242713
Ghana,GHA,2020,reserves_months,3.29851075387678
Ghana,GHA,2021,reserves_months,3.91994487404489
Ghana,GHA,2022,reserves_months,1.96715452699178
Ghana,GHA,2023,reserves_months,1.44787783771813
Ghana,GHA,2024,reserves_months,1.6387674511702
India,IND,2019,current_account,-1.04961203910072
India,IND,2020,current_account,1.22362111042791
India,IND,2021,current_account,-1.05524166809383
India,IND,2022,current_account,-2.43238270956779
